State,County,Year,Poverty Rate
Minnesota,Lake of the Woods County,2016,8.1
Minnesota,Lake of the Woods County,2015,9.3
Minnesota,Lake of the Woods County,2014,9.3
Minnesota,Lake of the Woods County,2013,7.8
Minnesota,Lake of the Woods County,2012,17.7
Minnesota,Lake of the Woods County,2011,17.7
Minnesota,Lake of the Woods County,2010,17.7
Minnesota,Lake of the Woods County,2009,16.0
Minnesota,Le Sueur County,2018,8.8
Minnesota,Le Sueur County,2017,8.8
Minnesota,Le Sueur County,2016,8.6
Minnesota,Le Sueur County,2015,9.1
Minnesota,Le Sueur County,2014,9.1
Minnesota,Le Sueur County,2013,8.2
Minnesota,Le Sueur County,2012,9.1
Minnesota,Le Sueur County,2011,8.6
Minnesota,Le Sueur County,2010,7.7
Minnesota,Le Sueur County,2009,6.8
Minnesota,Lincoln County,2018,10.4
Minnesota,Lincoln County,2017,11.4
Minnesota,Lincoln County,2016,11.6
Minnesota,Lincoln County,2015,9.3
Minnesota,Lincoln County,2014,9.3
Minnesota,Lincoln County,2013,8.7
Minnesota,Lincoln County,2012,8.7
Minnesota,Lincoln County,2011,7.4
Minnesota,Lincoln County,2010,7.4
Minnesota,Lincoln County,2009,7.4
Minnesota,Lyon County,2018,13.6
Minnesota,Lyon County,2017,13.7
Minnesota,Lyon County,2016,13.9
Minnesota,Lyon County,2015,14.1
Minnesota,Lyon County,2014,14.1
Minnesota,Lyon County,2013,12.7
Minnesota,Lyon County,2012,14.0
Minnesota,Lyon County,2011,14.0
Minnesota,Lyon County,2010,14.0
Minnesota,Lyon County,2009,14.0
Minnesota,Mahnomen County,2018,20.9
Minnesota,Mahnomen County,2017,22.7
Minnesota,Mahnomen County,2016,22.4
Minnesota,Mahnomen County,2015,24.9
Minnesota,Mahnomen County,2014,24.9
Minnesota,Mahnomen County,2013,26.2
Minnesota,Mahnomen County,2012,27.2
Minnesota,Mahnomen County,2011,27.2
Minnesota,Mahnomen County,2010,27.2
Minnesota,Mahnomen County,2009,27.2
Minnesota,Marshall County,2018,7.5
Minnesota,Marshall County,2017,7.8
Minnesota,Marshall County,2016,7.5
Minnesota,Marshall County,2015,7.9
Minnesota,Marshall County,2014,7.9
Minnesota,Marshall County,2013,7.4
Minnesota,Marshall County,2012,7.9
Minnesota,Marshall County,2011,7.9
Minnesota,Marshall County,2010,7.9
Minnesota,Marshall County,2009,7.9
Minnesota,Martin County,2018,13.3
Minnesota,Martin County,2017,11.3
Minnesota,Martin County,2016,11.6
Minnesota,Martin County,2015,11.4
Minnesota,Martin County,2014,11.4
Minnesota,Martin County,2013,10.2
Minnesota,Martin County,2012,10.6
Minnesota,Martin County,2011,10.6
Minnesota,Martin County,2010,10.6
Minnesota,Martin County,2009,10.6
Minnesota,McLeod County,2018,8.8
Minnesota,McLeod County,2017,8.4
Minnesota,McLeod County,2016,8.1
Minnesota,McLeod County,2015,8.1
Minnesota,McLeod County,2014,8.1
Minnesota,McLeod County,2013,7.8
Minnesota,McLeod County,2012,7.7
Minnesota,McLeod County,2011,7.7
Minnesota,McLeod County,2010,7.7
Minnesota,McLeod County,2009,7.7
Minnesota,Meeker County,2018,7.6
Minnesota,Meeker County,2017,8.3
Minnesota,Meeker County,2016,9.3
Minnesota,Meeker County,2015,10.1
Minnesota,Meeker County,2014,10.1
Minnesota,Meeker County,2013,9.4
Minnesota,Meeker County,2012,10.6
Minnesota,Meeker County,2011,10.6
Minnesota,Meeker County,2010,8.1
Minnesota,Meeker County,2009,8.4
Minnesota,Mille Lacs County,2018,12.1
Minnesota,Mille Lacs County,2017,11.5
Minnesota,Mille Lacs County,2016,11.8
Minnesota,Mille Lacs County,2015,12.2
Minnesota,Mille Lacs County,2014,12.2
Minnesota,Mille Lacs County,2013,13.9
Minnesota,Mille Lacs County,2012,14.0
Minnesota,Mille Lacs County,2011,14.0
Minnesota,Mille Lacs County,2010,14.0
Minnesota,Mille Lacs County,2009,14.0
Minnesota,Morrison County,2018,10.9
Minnesota,Morrison County,2017,11.4
Minnesota,Morrison County,2016,11.7
Minnesota,Morrison County,2015,11.3
Minnesota,Morrison County,2014,11.3
Minnesota,Morrison County,2013,11.9
Minnesota,Morrison County,2012,13.2
Minnesota,Morrison County,2011,13.2
Minnesota,Morrison County,2010,13.2
Minnesota,Morrison County,2009,13.2
Minnesota,Mower County,2018,12.8
Minnesota,Mower County,2017,13.0
Minnesota,Mower County,2016,14.0
Minnesota,Mower County,2015,14.0
Minnesota,Mower County,2014,14.0
Minnesota,Mower County,2013,14.4
Minnesota,Mower County,2012,15.8
Minnesota,Mower County,2011,15.8
Minnesota,Mower County,2010,12.7
Minnesota,Mower County,2009,12.7
Minnesota,Murray County,2018,7.4
Minnesota,Murray County,2017,8.2
Minnesota,Murray County,2016,9.2
Minnesota,Murray County,2015,9.2
Minnesota,Murray County,2014,9.2
Minnesota,Murray County,2013,10.6
Minnesota,Murray County,2012,10.1
Minnesota,Murray County,2011,10.1
Minnesota,Murray County,2010,10.1
Minnesota,Murray County,2009,10.1
Minnesota,Nicollet County,2018,9.6
Minnesota,Nicollet County,2017,11.3
Minnesota,Nicollet County,2016,11.8
Minnesota,Nicollet County,2015,12.4
Minnesota,Nicollet County,2014,12.4
Minnesota,Nicollet County,2013,9.3
Minnesota,Nicollet County,2012,11.0
Minnesota,Nicollet County,2011,11.0
Minnesota,Nicollet County,2010,11.0
Minnesota,Nicollet County,2009,11.0
Minnesota,Nobles County,2018,14.3
Minnesota,Nobles County,2017,15.8
Minnesota,Nobles County,2016,14.1
Minnesota,Nobles County,2015,15.6
Minnesota,Nobles County,2014,15.6
Minnesota,Nobles County,2013,16.0
Minnesota,Nobles County,2012,17.2
Minnesota,Nobles County,2011,17.2
Minnesota,Nobles County,2010,17.2
Minnesota,Nobles County,2009,17.2
Minnesota,Norman County,2018,10.3
Minnesota,Norman County,2017,12.0
Minnesota,Norman County,2016,11.7
Minnesota,Norman County,2015,12.9
Minnesota,Norman County,2014,12.9
Minnesota,Norman County,2013,11.8
Minnesota,Norman County,2012,11.3
Minnesota,Norman County,2011,11.3
Minnesota,Norman County,2010,11.3
Minnesota,Norman County,2009,11.3
Minnesota,Olmsted County,2018,8.9
Minnesota,Olmsted County,2017,9.0
Minnesota,Olmsted County,2016,9.2
Minnesota,Olmsted County,2015,9.0
Minnesota,Olmsted County,2014,9.0
Minnesota,Olmsted County,2013,8.0
Minnesota,Olmsted County,2012,8.5
Minnesota,Olmsted County,2011,8.5
Minnesota,Olmsted County,2010,8.5
Minnesota,Olmsted County,2009,8.5
Minnesota,Otter Tail County,2018,9.2
Minnesota,Otter Tail County,2017,9.4
Minnesota,Otter Tail County,2016,9.7
Minnesota,Otter Tail County,2015,10.0
Minnesota,Otter Tail County,2014,10.0
Minnesota,Otter Tail County,2013,11.7
Minnesota,Otter Tail County,2012,12.2
Minnesota,Otter Tail County,2011,12.2
Minnesota,Otter Tail County,2010,12.2
Minnesota,Otter Tail County,2009,11.8
Minnesota,Pennington County,2018,9.8
Minnesota,Pennington County,2017,10.3
Minnesota,Pennington County,2016,8.7
Minnesota,Pennington County,2015,9.3
Minnesota,Pennington County,2014,9.3
Minnesota,Pennington County,2013,10.9
Minnesota,Pennington County,2012,10.6
Minnesota,Pennington County,2011,10.6
Minnesota,Pennington County,2010,10.6
Minnesota,Pennington County,2009,11.3
Minnesota,Pine County,2018,12.6
Minnesota,Pine County,2017,13.7
Minnesota,Pine County,2016,13.7
Minnesota,Pine County,2015,14.6
Minnesota,Pine County,2014,14.6
Minnesota,Pine County,2013,14.8
Minnesota,Pine County,2012,14.8
Minnesota,Pine County,2011,14.8
Minnesota,Pine County,2010,14.8
Minnesota,Pine County,2009,14.8
Minnesota,Pipestone County,2018,11.3
Minnesota,Pipestone County,2017,11.8
Minnesota,Pipestone County,2016,12.7
Minnesota,Pipestone County,2015,12.9
Minnesota,Pipestone County,2014,12.9
Minnesota,Pipestone County,2013,9.9
Minnesota,Pipestone County,2012,10.1
Minnesota,Pipestone County,2011,10.1
Minnesota,Pipestone County,2010,10.1
Minnesota,Pipestone County,2009,10.1
Minnesota,Polk County,2018,12.6
Minnesota,Polk County,2017,12.4
Minnesota,Polk County,2016,13.0
Minnesota,Polk County,2015,13.1
Minnesota,Polk County,2014,13.1
Minnesota,Polk County,2013,12.6
Minnesota,Polk County,2012,12.2
Minnesota,Polk County,2011,12.2
Minnesota,Polk County,2010,12.2
Minnesota,Polk County,2009,12.2
Minnesota,Pope County,2018,7.3
Minnesota,Pope County,2017,7.9
Minnesota,Pope County,2016,9.5
Minnesota,Pope County,2015,9.4
Minnesota,Pope County,2014,9.4
Minnesota,Pope County,2013,8.6
Minnesota,Pope County,2012,8.7
Minnesota,Pope County,2011,8.7
Minnesota,Pope County,2010,8.7
Minnesota,Pope County,2009,8.7
Minnesota,Ramsey County,2018,14.6
Minnesota,Ramsey County,2017,15.0
Minnesota,Ramsey County,2016,15.9
Minnesota,Ramsey County,2015,16.5
Minnesota,Ramsey County,2014,16.5
Minnesota,Ramsey County,2013,16.9
Minnesota,Ramsey County,2012,16.8
Minnesota,Ramsey County,2011,16.8
Minnesota,Ramsey County,2010,16.8
Minnesota,Ramsey County,2009,16.8
Minnesota,Red Lake County,2018,9.8
Minnesota,Red Lake County,2017,9.4
Minnesota,Red Lake County,2016,10.4
Minnesota,Red Lake County,2015,10.7
Minnesota,Red Lake County,2014,10.7
Minnesota,Red Lake County,2013,10.5
Minnesota,Red Lake County,2012,11.2
Minnesota,Red Lake County,2011,11.2
Minnesota,Red Lake County,2010,11.2
Minnesota,Red Lake County,2009,11.2
Minnesota,Redwood County,2018,11.4
Minnesota,Redwood County,2017,11.8
Minnesota,Redwood County,2016,11.6
Minnesota,Redwood County,2015,11.8
Minnesota,Redwood County,2014,11.8
Minnesota,Redwood County,2013,10.0
Minnesota,Redwood County,2012,10.5
Minnesota,Redwood County,2011,10.5
Minnesota,Redwood County,2010,10.5
Minnesota,Redwood County,2009,10.5
Minnesota,Renville County,2018,10.4
Minnesota,Renville County,2017,11.0
Minnesota,Renville County,2016,10.5
Minnesota,Renville County,2015,11.1
Minnesota,Renville County,2014,11.1
Minnesota,Renville County,2013,11.6
Minnesota,Renville County,2012,11.1
Minnesota,Renville County,2011,11.1
Minnesota,Renville County,2010,11.1
Minnesota,Renville County,2009,11.1
Minnesota,Rice County,2018,10.7
Minnesota,Rice County,2017,11.5
Minnesota,Rice County,2016,11.7
Minnesota,Rice County,2015,11.4
Minnesota,Rice County,2014,11.4
Minnesota,Rice County,2013,12.0
Minnesota,Rice County,2012,11.0
